Date,Open,High,Low,Close,Adj Close,Volume
2019-10-21,2984.750000,3007.500000,2983.750000,3006.500000,3006.500000,886557
2019-10-22,3006.500000,3014.250000,2988.250000,2994.500000,2994.500000,1125601
2019-10-23,2992.000000,3006.000000,2982.000000,3005.750000,3005.750000,1055958
2019-10-24,3006.000000,3015.250000,2998.750000,3004.250000,3004.250000,1061278
2019-10-25,3003.750000,3026.500000,3000.000000,3020.250000,3020.250000,1098391
2019-10-27,3023.000000,3026.000000,3022.750000,3024.250000,3024.250000,855745
2019-10-28,3023.000000,3042.750000,3022.750000,3036.250000,3036.250000,1041931
2019-10-29,3038.250000,3046.250000,3029.500000,3035.750000,3035.750000,1040149
2019-10-30,3036.500000,3055.000000,3023.250000,3047.750000,3047.750000,1179153
2019-10-31,3051.750000,3052.000000,3020.250000,3035.750000,3035.750000,1766536
2019-11-01,3036.000000,3065.000000,3033.000000,3063.250000,3063.250000,1279508
2019-11-03,3064.750000,3069.000000,3064.750000,3068.500000,3068.500000,344425
2019-11-04,3064.750000,3083.750000,3064.750000,3075.750000,3075.750000,1179714
2019-11-05,3076.750000,3085.750000,3069.750000,3072.000000,3072.000000,1124217
2019-11-06,3071.500000,3078.000000,3063.000000,3075.500000,3075.500000,1076833
2019-11-07,3077.250000,3097.000000,3070.250000,3086.000000,3086.000000,1353330
2019-11-08,3086.250000,3092.500000,3072.500000,3090.500000,3090.500000,1080147
2019-11-10,3090.500000,3092.250000,3089.250000,3089.750000,3089.750000,216949
2019-11-11,3090.500000,3092.250000,3074.500000,3087.500000,3087.500000,844597
2019-11-12,3087.750000,3102.000000,3081.250000,3092.000000,3092.000000,1101243
2019-11-13,3091.250000,3097.000000,3075.750000,3095.500000,3095.500000,1251057
2019-11-14,3096.250000,3099.750000,3081.750000,3097.000000,3097.000000,1105353
2019-11-15,3097.000000,3119.500000,3095.750000,3118.250000,3118.250000,1251167
2019-11-17,3119.000000,3119.250000,3114.000000,3114.000000,3114.000000,327904
2019-11-18,3119.000000,3127.750000,3111.000000,3121.750000,3121.750000,1034214
2019-11-19,3121.500000,3132.500000,3112.750000,3118.500000,3118.500000,1195901
2019-11-20,3116.500000,3118.500000,3090.750000,3109.000000,3109.000000,1693828
2019-11-21,3097.250000,3114.500000,3091.250000,3104.000000,3104.000000,1434552
2019-11-22,3104.000000,3114.500000,3097.750000,3111.500000,3111.500000,995416
2019-11-24,3119.000000,3121.000000,3116.500000,3118.250000,3118.250000,378247
2019-11-25,3119.000000,3133.500000,3116.500000,3132.750000,3132.750000,947831
2019-11-26,3131.250000,3145.000000,3128.000000,3143.750000,3143.750000,1068011
2019-11-27,3143.750000,3155.000000,3141.750000,3153.750000,3153.750000,928792
2019-11-29,null,null,null,null,null,null
2019-12-01,3146.250000,3148.000000,3144.250000,3146.000000,3146.000000,321852
2019-12-02,3146.250000,3158.000000,3110.250000,3114.250000,3114.250000,1927030
2019-12-03,3114.250000,3121.750000,3069.500000,3091.000000,3091.000000,2146620
2019-12-04,3091.750000,3119.500000,3081.750000,3111.000000,3111.000000,1485940
2019-12-05,3111.000000,3124.750000,3103.250000,3117.750000,3117.750000,1318780
2019-12-06,3117.750000,3151.000000,3117.000000,3146.000000,3146.000000,1300299
2019-12-08,3146.500000,3148.500000,3146.000000,3146.750000,3146.750000,208071
2019-12-09,3146.500000,3149.500000,3131.250000,3134.500000,3134.500000,1145426
2019-12-10,3133.500000,3143.000000,3116.250000,3136.000000,3136.000000,1425723
2019-12-11,3135.500000,3144.500000,3129.500000,3143.000000,3143.000000,1225764
2019-12-12,3144.000000,3177.500000,3137.250000,3168.000000,3168.000000,2379008
2019-12-13,3175.750000,3185.000000,3156.750000,3172.000000,3172.000000,1834941
2019-12-15,3176.500000,3177.250000,3173.750000,3176.250000,3176.250000,278836
2019-12-16,3176.500000,3198.750000,3173.750000,3194.250000,3194.250000,1413219
2019-12-17,3192.500000,3199.250000,3187.750000,3192.000000,3192.000000,1032120
2019-12-18,3189.500000,3199.000000,3188.500000,3194.750000,3194.750000,582632
2019-12-19,3195.000000,3209.000000,3190.250000,3207.000000,3207.000000,433420
2019-12-20,3208.500000,3231.020020,3204.250000,3231.020020,3231.020020,1320006
2019-12-22,3227.000000,3229.000000,3224.750000,3228.250000,3228.250000,215181
2019-12-23,3227.000000,3234.250000,3224.250000,3227.250000,3227.250000,665895
2019-12-24,null,null,null,null,null,null
2019-12-26,3227.500000,3244.750000,3227.000000,3244.500000,3244.500000,464639
2019-12-27,3242.000000,3254.000000,3235.500000,3237.500000,3237.500000,984389
2019-12-29,3238.250000,3241.250000,3238.000000,3240.750000,3240.750000,205702
2019-12-30,3238.250000,3244.250000,3217.250000,3223.500000,3223.500000,1124598
2019-12-31,3223.250000,3236.250000,3213.000000,3231.000000,3231.000000,1157924
2020-01-02,3237.000000,3261.750000,3234.250000,3259.000000,3259.000000,1416241
2020-01-03,3261.000000,3263.500000,3206.750000,3235.500000,3235.500000,1755057
2020-01-05,3220.250000,3223.750000,3216.250000,3222.500000,3222.500000,1101400
2020-01-06,3220.250000,3249.500000,3208.750000,3243.500000,3243.500000,1502748
2020-01-07,3243.500000,3254.500000,3226.000000,3235.250000,3235.250000,1293494
2020-01-08,3231.750000,3267.750000,3181.000000,3260.250000,3260.250000,2279138
2020-01-09,3261.250000,3276.750000,3257.750000,3276.000000,3276.000000,1297679
2020-01-10,3275.500000,3287.000000,3260.750000,3264.750000,3264.750000,1533121
2020-01-12,3265.750000,3271.500000,3265.500000,3269.500000,3269.500000,332775
2020-01-13,3265.750000,3291.000000,3265.500000,3289.750000,3289.750000,1008998
2020-01-14,3289.250000,3296.750000,3275.250000,3288.000000,3288.000000,1694799
2020-01-15,3287.750000,3299.000000,3277.750000,3293.750000,3293.750000,1468347
2020-01-16,3294.250000,3318.000000,3294.000000,3316.500000,3316.500000,1335246
2020-01-17,3316.750000,3330.250000,3316.000000,3325.000000,3325.000000,1312253
2020-01-19,3325.000000,3326.500000,3323.250000,3326.500000,3326.500000,291095
2020-01-21,3325.000000,3329.750000,3307.250000,3319.500000,3319.500000,1573187
2020-01-22,3321.250000,3337.500000,3315.250000,3319.750000,3319.750000,1505107
2020-01-23,3317.250000,3327.000000,3301.250000,3326.000000,3326.000000,1717046
2020-01-24,3326.500000,3337.000000,3280.500000,3293.500000,3293.500000,2515168
2020-01-26,3269.750000,3269.750000,3252.250000,3256.500000,3256.500000,2768505
2020-01-27,3269.750000,3269.750000,3233.000000,3239.500000,3239.500000,2581636
2020-01-28,3239.500000,3285.000000,3238.750000,3278.250000,3278.250000,1910878
2020-01-29,3281.750000,3292.750000,3265.250000,3272.500000,3272.500000,1665382
2020-01-30,3271.500000,3295.250000,3239.750000,3289.750000,3289.750000,2421276
2020-01-31,3292.000000,3297.500000,3212.750000,3224.000000,3224.000000,3152069
2020-02-02,3222.750000,3236.250000,3222.000000,3233.000000,3233.000000,1619113
2020-02-03,3222.750000,3267.250000,3222.000000,3245.500000,3245.500000,1919477
2020-02-04,3244.250000,3305.250000,3236.000000,3299.500000,3299.500000,1698403
2020-02-05,3300.250000,3338.000000,3288.250000,3335.000000,3335.000000,2046111
2020-02-06,3337.000000,3357.750000,3332.500000,3345.250000,3345.250000,1462323
2020-02-07,3349.000000,3350.000000,3320.750000,3325.500000,3325.500000,1698940
2020-02-09,3322.250000,3329.250000,3303.500000,3313.250000,3313.250000,1033468
2020-02-10,3322.250000,3353.500000,3303.500000,3353.000000,3353.000000,1399815
